rg-hub-development-westus3	Microsoft.OperationsManagement/solutions	ContainerInsights(aks-hub-development-westus3-v2-logs)	westus3		
rg-hub-development-westus3	Microsoft.OperationsManagement/solutions	ContainerInsights(log-hub-development-westus3-v2)	westus3		
rg-hub-development-westus3	Microsoft.OperationsManagement/solutions	Security(log-hub-development-westus3-v2)	westus3		
rg-hub-development-westus3	Microsoft.Storage/storageAccounts	a5catlaspg794e33cd	westus3	Standard_LRS	StorageV2
rg-hub-development-westus3	Microsoft.Storage/storageAccounts	sthubdevelopmentwestu3v2	westus3	Standard_LRS	StorageV2
rg-hub-development-westus3	microsoft.alertsmanagement/smartDetectorAlertRules	Failure Anomalies - appi-hub-development-westus3-v2	global		
rg-litellm-proxy	Microsoft.DBforPostgreSQL/flexibleServers	litellm-pgdb	swedencentral	Standard_B1ms	
rg-litellm-proxy	Microsoft.DBforPostgreSQL/flexibleServers	litellm-pgdb2	swedencentral	Standard_B1ms	
rg-litellm-proxy	Microsoft.Storage/storageAccounts	stlitellmproxy2026	swedencentral	Standard_LRS	StorageV2
rg-mantis-album	Microsoft.Storage/storageAccounts	mantisb131bfc8	eastus	Standard_LRS	StorageV2
rg-mantis-odoo-validation-eastus2	Microsoft.Compute/virtualMachines	vm-odoo-validation	eastus2		
rg-mantis-odoo-validation-eastus2	Microsoft.Network/networkInterfaces	vm-odoo-validationVMNic	eastus2		
rg-mantis-odoo-validation-eastus2	Microsoft.Network/virtualNetworks	vm-odoo-validationVNET	eastus2		
rg-mantis-odoo-validation-eastus2	Microsoft.Storage/storageAccounts	mantisodoo913061	eastus2	Standard_LRS	StorageV2
rg-mantis-odoo-validation-eastus2	Microsoft.Storage/storageAccounts	mantisodooevid1868	eastus2	Standard_LRS	StorageV2
rg-promoted-idle	Microsoft.Web/serverFarms	asp-promoted-idle	eastus	F1	linux
rg-promoted-idle	Microsoft.Web/sites	promoted-idle-a1cef5	eastus		app,linux
rg-tb-fleet-0	Microsoft.Compute/disks	tb-fleet-0-os	swedencentral	Premium_LRS	
rg-tb-fleet-0	Microsoft.Compute/virtualMachines	tb-fleet-0	swedencentral		
rg-tb-fleet-0	Microsoft.Compute/virtualMachines/extensions	tb-fleet-0/terminal-bench-bootstrap	swedencentral		
rg-tb-fleet-0	Microsoft.Network/networkInterfaces	tb-fleet-0-nic	swedencentral		
rg-tb-fleet-0	Microsoft.Network/networkSecurityGroups	tb-fleet-0-nsg	swedencentral		
rg-tb-fleet-0	Microsoft.Network/publicIPAddresses	tb-fleet-0-pip	swedencentral	Standard	
rg-tb-fleet-0	Microsoft.Network/virtualNetworks	tb-fleet-0-vnet	swedencentral		
rg-tb-fleet-1	Microsoft.Compute/disks	tb-fleet-1-os	swedencentral	Premium_LRS	
rg-tb-fleet-1	Microsoft.Compute/virtualMachines	tb-fleet-1	swedencentral		
rg-tb-fleet-1	Microsoft.Compute/virtualMachines/extensions	tb-fleet-1/terminal-bench-bootstrap	swedencentral		
rg-tb-fleet-1	Microsoft.Network/networkInterfaces	tb-fleet-1-nic	swedencentral		
rg-tb-fleet-1	Microsoft.Network/networkSecurityGroups	tb-fleet-1-nsg	swedencentral		
rg-tb-fleet-1	Microsoft.Network/publicIPAddresses	tb-fleet-1-pip	swedencentral	Standard	
rg-tb-fleet-1	Microsoft.Network/virtualNetworks	tb-fleet-1-vnet	swedencentral		
rg-tb-fleet-2	Microsoft.Compute/disks	tb-fleet-2-os	swedencentral	Premium_LRS	
rg-tb-fleet-2	Microsoft.Compute/virtualMachines	tb-fleet-2	swedencentral		
rg-tb-fleet-2	Microsoft.Compute/virtualMachines/extensions	tb-fleet-2/terminal-bench-bootstrap	swedencentral		
rg-tb-fleet-2	Microsoft.Network/networkInterfaces	tb-fleet-2-nic	swedencentral		
rg-tb-fleet-2	Microsoft.Network/networkSecurityGroups	tb-fleet-2-nsg	swedencentral		
rg-tb-fleet-2	Microsoft.Network/publicIPAddresses	tb-fleet-2-pip	swedencentral	Standard	
rg-tb-fleet-2	Microsoft.Network/virtualNetworks	tb-fleet-2-vnet	swedencentral		
rg-tb-fleet-4	Microsoft.Compute/disks	tb-fleet-4-os	swedencentral	Premium_LRS	
rg-tb-fleet-4	Microsoft.Compute/virtualMachines	tb-fleet-4	swedencentral		
rg-tb-fleet-4	Microsoft.Compute/virtualMachines/extensions	tb-fleet-4/terminal-bench-bootstrap	swedencentral		
rg-tb-fleet-4	Microsoft.Network/networkInterfaces	tb-fleet-4-nic	swedencentral		
rg-tb-fleet-4	Microsoft.Network/networkSecurityGroups	tb-fleet-4-nsg	swedencentral		
rg-tb-fleet-4	Microsoft.Network/publicIPAddresses	tb-fleet-4-pip	swedencentral	Standard	
rg-tb-fleet-4	Microsoft.Network/virtualNetworks	tb-fleet-4-vnet	swedencentral		
rg-tb-fleet-5	Microsoft.Compute/disks	tb-fleet-5-os	swedencentral	Premium_LRS	
