NS                  NAME                                                          TYPE                             OWNER    HELM
kube-system         sh.helm.release.v1.aks-managed-overlay-upgrade-data.v332287   helm.sh/release.v1               <none>   helm
kyverno             kyverno-cleanup-controller.kyverno.svc.kyverno-tls-ca         kubernetes.io/tls                <none>   <none>
kyverno             kyverno-cleanup-controller.kyverno.svc.kyverno-tls-pair       kubernetes.io/tls                <none>   <none>
kyverno             kyverno-svc.kyverno.svc.kyverno-tls-ca                        kubernetes.io/tls                <none>   <none>
kyverno             kyverno-svc.kyverno.svc.kyverno-tls-pair                      kubernetes.io/tls                <none>   <none>
kyverno             sh.helm.release.v1.kyverno.v1                                 helm.sh/release.v1               <none>   helm
kyverno             sh.helm.release.v1.kyverno.v2                                 helm.sh/release.v1               <none>   helm
osb-staging         ghcr-pull-secret                                              kubernetes.io/dockerconfigjson   <none>   <none>
osb-staging         osb-secrets                                                   Opaque                           <none>   <none>
staging             acr-secret                                                    kubernetes.io/dockerconfigjson   <none>   <none>
staging             babysitter-web-staging-postgresql                             Opaque                           <none>   <none>
staging             babysitter-web-staging-redis                                  Opaque                           <none>   <none>
staging             babysitter-web-staging-secrets                                Opaque                           <none>   <none>
staging             babysitter-web-staging-secrets-placeholder                    Opaque                           <none>   <none>
staging             babysitter-web-staging-tls                                    kubernetes.io/tls                <none>   <none>
staging             claude-web-staging-postgresql                                 Opaque                           <none>   <none>
staging             claude-web-staging-redis                                      Opaque                           <none>   <none>
staging             claude-web-staging-secrets                                    Opaque                           <none>   <none>
staging             claude-web-staging-secrets-placeholder                        Opaque                           <none>   <none>
staging             claude-web-staging-tls                                        kubernetes.io/tls                <none>   <none>
staging             sh.helm.release.v1.babysitter-web-staging.v10                 helm.sh/release.v1               <none>   helm
staging             sh.helm.release.v1.babysitter-web-staging.v11                 helm.sh/release.v1               <none>   helm
staging             sh.helm.release.v1.babysitter-web-staging.v12                 helm.sh/release.v1               <none>   helm
staging             sh.helm.release.v1.babysitter-web-staging.v13                 helm.sh/release.v1               <none>   helm
staging             sh.helm.release.v1.babysitter-web-staging.v14                 helm.sh/release.v1               <none>   helm
staging             sh.helm.release.v1.babysitter-web-staging.v15                 helm.sh/release.v1               <none>   helm
staging             sh.helm.release.v1.babysitter-web-staging.v6                  helm.sh/release.v1               <none>   helm
staging             sh.helm.release.v1.babysitter-web-staging.v7                  helm.sh/release.v1               <none>   helm
staging             sh.helm.release.v1.babysitter-web-staging.v8                  helm.sh/release.v1               <none>   helm
staging             sh.helm.release.v1.babysitter-web-staging.v9                  helm.sh/release.v1               <none>   helm
vela-system         kubevela-vela-core-admission                                  Opaque                           <none>   <none>
vela-system         kubevela-vela-core-cluster-gateway-tls-v2                     Opaque                           <none>   <none>
